eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-01-01,-28.16035,153.44473,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-27.90909,153.34164,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-27.84189,153.2949,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-28.14216,153.44385,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-28.11092,153.40372,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-28.147,153.42383,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-28.22343,153.498734,2,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-01,-27.525093,153.28388,2,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-27.498992,153.230628,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-21.69774,148.69168,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-01,-27.537107,153.278253,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-21.69774,148.69168,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-01,-21.179618,149.05624,1,Queensland,Central Mackay Coast,Vulnerable,QLD NC Act 1992
2023-01-01,-21.69774,148.69168,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-01,-27.575756,153.271712,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-01,-26.372675,152.653656,2,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-28.15916,153.41449,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-28.14862,153.45022,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-28.13773,153.44836,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-28.09756,153.44855,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-28.239334,153.490065,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-02,-27.491599,153.197865,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-02,-21.68293,148.68594,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-02,-21.49497,148.80396,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-02,-21.51762,148.78165,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-02,-21.69774,148.69164,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-02,-21.68285,148.68609,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-35.74195,136.75739,1,South Australia,Kanmantoo,Rare,SA NPW Act 1972
2023-01-03,-27.93954,153.38052,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-03,-37.46688,144.18428,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-03,-37.46525,144.18589,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-03,-27.84465,153.26504,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-03,-27.83409,153.36528,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-03,-27.92826,153.36434,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-03,-37.46263,144.18854,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-03,-28.385582,153.561535,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-03,-21.7096,148.63443,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.771028,148.787456,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.771028,148.787456,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.7096,148.63443,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.69213,148.68915,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.68497,148.68637,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-27.814502,153.097658,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-03,-21.67848,148.68071,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-03,-21.67031,148.67601,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
